matrix,quicktree_time,rapidnj_time,our_nj_time,speedup_vs_quicktree,speedup_vs_rapidnj
1347_FAINT.phy,6.6321621389997745,0.5063996079998105,111.22857557099996,0.05962642338044058,0.0045527833598530895
1493_Fe-ADH.phy,8.62852558800023,0.5827105779999329,110.1714485729999,0.07831907177187514,0.005289125136752897
1560_Ferritin.phy,7.722402814000361,0.5995939370000087,132.5617298430002,0.058255145154988607,0.004523129999209721
1689_FGGY_N.phy,9.607276978999835,0.6978351389998352,167.70990351199998,0.057285090372211765,0.004160965598253437
1756_FAD_binding_3.phy,10.332086441000229,0.7947402049999255,219.37239476800005,0.047098389256893754,0.0036227903963961037
1849_FG-GAP.phy,14.479549116999806,0.9071350359999997,247.09669427300014,0.05859871642395324,0.0036711743095914047
214_Arena_glycoprot.phy,0.23005605200023638,0.031744921000154136,0.2747092039999188,0.8374530181387893,0.1155582723036958
304_A1_Propeptide.phy,0.3214942740000879,0.03756889099986438,0.6651047340001242,0.4833739072439498,0.056485676735323564
401_DDE.phy,0.5386572730003536,0.05364351700018233,1.7163073780002378,0.31384662205902314,0.031255192215444115
494_Astro_capsid.phy,0.7703125200000613,0.06793496200043592,2.9123943760000657,0.26449457750224825,0.02332615478187367
608_Gemini_AL2.phy,1.1308601460000318,0.11505507699985174,5.4002162269998735,0.20941016034616985,0.02130564261938292
777_Gemini_V1.phy,1.9336475260001862,0.14231866499994794,11.53464005800015,0.16763830655114847,0.012338370706352395
877_Glu_synthase.phy,2.3781382389997816,0.20250879600007465,18.111849163999977,0.13130289555009594,0.01118101162208171
89_Adeno_E3_CR1.phy,0.06559473900006196,0.01703808900037984,0.0647112599999673,1.0136526317072967,0.2632940387868889
